token,display_token,position,importance_score
▁the,▁the,287,0.0018540986656392742
ermo,ermo,291,0.0018249292177187541
1,1,306,0.001816455884145446
▁of,▁of,283,0.0017921268415659088
▁case,▁case,294,0.0017853691979452689
▁for,▁for,298,0.0017760367417537345
▁the,▁the,299,0.0017732506136420956
▁special,▁special,300,0.0017418777414870297
▁as,▁as,297,0.0017378923282004666
▁Some,▁Some,280,0.001718796634373211
▁model,▁model,284,0.001717878857162095
.,.,311,0.0016670424981460991
▁general,▁general,288,0.0016658421847445593
▁as,▁as,295,0.0016642023567232237
▁are,▁are,309,0.0016082517215886202
▁given,▁given,310,0.0015915598820124975
▁examples,▁examples,282,0.001574327218435426
▁in,▁in,304,0.0015729244310976557
▁(,▁(,305,0.0015699942975002641
▁mentioned,▁mentioned,303,0.0015470360480604399
▁numerical,▁numerical,281,0.0015222003986136918
▁aer,▁aer,289,0.0015146995762602643
oth,oth,290,0.0014951244006952346
▁well,▁well,296,0.0014543339384491991
",",",",313,0.0013144339039562795
▁Finally,▁Finally,312,0.0012185446084842907
astic,astic,321,0.0011391960962569476
▁of,▁of,315,0.0010745819276555067
▁the,▁the,316,0.001050536211794135
▁extension,▁extension,314,0.0010089021751309318
▁laws,▁laws,323,0.0009990855139974805
ermo,ermo,319,0.0009765683310568555
el,el,320,0.0009668994789246941
▁similarity,▁similarity,322,0.0009104435948928331
▁aer,▁aer,317,0.0008696563462464088
▁to,▁to,324,0.000852133606071649
oth,oth,318,0.0007818546586944756
atures,atures,330,0.0007085517787882301
▁and,▁and,328,0.0006518394810641943
▁higher,▁higher,325,0.0006074102490143637
eds,eds,327,0.0005727268898041282
▁is,▁is,331,0.0005393787589439784
▁temper,▁temper,329,0.00047814728457523344
▁discussed,▁discussed,332,0.00047568865494112135
▁spe,▁spe,326,0.000461065038561763
.,.,333,0.00044797712548846403
